"Journal title","ISSN","Categorias","Indexador","Aims and Scope","Aims and Scope (translate)"
"1616-Anuario De Literatura Comparada","0210-7287","Literature","Web of Science - ESCI","Subjects: Literature (General), French literature - Italian literature - Spanish literature - Portuguese literature. Keywords: literature, comparative literature","Subjects: Literature (General), French literature - Italian literature - Spanish literature - Portuguese literature. Keywords: literature, comparative literature"
"20 Et 21-Revue D Histoire","2649-664X","History","Web of Science - AHCI","Les militants ouvriers d'un bourg rural face au pouvoir municipal (années 1900-1930)-Les collaborationnistes contre la symbolique républicaine durant l’Occupation-La Phalange espagnole et le Mouvement social européen-Les luttes pour légaliser le métier de maître-nageur-sauveteur (1927-1951)","Worker activists in a rural town facing municipal power (1900s-1930s)-Collaborationists against republican symbolism during the Occupation-The Spanish Falange and the European Social Movement-The struggles to legalize the profession of lifeguard (1927-1951)"
"2D Materials","2053-1583","Nanoscience & Nanotechnology, Materials Science, Multidisciplinary, Physics, Applied","Web of Science - SCIE","Aims and Scope: In materials science, the term single-layer materials or 2D materials refers to crystalline solids consisting of a single layer of atoms. More broadly","Aims and Scope: In materials science, the term single-layer materials or 2D materials refers to crystalline solids consisting of a single layer of atoms. More broadly"
"3 Biotech","2190-572X","Biotechnology & Applied Microbiology","Web of Science - SCIE","3 Biotech is a hybrid journal focussed on the study and application of biotechnology across various sectors. Publishes research related to medicine, ...","3 Biotech is a hybrid journal focussed on the study and application of biotechnology across various sectors. Publishes research related to medicine, ..."
"3D Printing And Additive Manufacturing","2329-7662","Engineering, Manufacturing, Materials Science, Multidisciplinary","Web of Science - SCIE","Aims and Scope: 3D printing, also called additive manufacturing, is the construction of a three-dimensional object from a CAD model or a digital 3D model. It can be done","Aims and Scope: 3D printing, also called additive manufacturing, is the construction of a three-dimensional object from a CAD model or a digital 3D model. It can be done"
"3D Printing In Medicine","2365-6271","Radiology, Nuclear Medicine & Medical Imaging","Web of Science - ESCI","3D Printing in Medicine is a peer-reviewed, Open-Access journal that publishes clinically-relevant 3D printing &amp; applied imaging research. In addition to ...","3D Printing in Medicine is a peer-reviewed, Open-Access journal that publishes clinically-relevant 3D printing &amp; applied imaging research. In addition to ..."
"3L-Language Linguistics Literature-The Southeast Asian Journal Of English Language Studies","0128-5157","Language & Linguistics, Literature, Linguistics","Web of Science - ESCI","Subjects: English language. Keywords: language, linguistics, literature, language teaching, language research, english","Subjects: English language. Keywords: language, linguistics, literature, language teaching, language research, english"
"452 F-Revista De Teoria De La Literatura Y Literatura Comparada","2013-3294","Literature","Web of Science - ESCI","Subjects: Language and Literature. Keywords: literary theory, comparative literature","Subjects: Language and Literature. Keywords: literary theory, comparative literature"
"4Or-A Quarterly Journal Of Operations Research","1619-4500","Operations Research & Management Science","Web of Science - SCIE","4OR - A Quarterly Journal of Operations Research is an academic journal publishing high quality scientific papers on the theory and applications of Operations ...","4OR - A Quarterly Journal of Operations Research is an academic journal publishing high quality scientific papers on the theory and applications of Operations ..."
"Aaa-Arbeiten Aus Anglistik Und Amerikanistik","0171-5410","Language & Linguistics, Literature","Web of Science - AHCI","ProQuest powers research in academic, corporate, government, public and school libraries around the world with unique content. Explore millions of resources from scholarly journals, books, newspapers, videos and more.","ProQuest powers research in academic, corporate, government, public and school libraries around the world with unique content. Explore millions of resources from scholarly journals, books, newspapers, videos and more."
"Aace Endocrinology And Diabetes","3050-9157","Endocrinology & Metabolism","Web of Science - ESCI","Aims and Scope: Published by Elsevier. Focuses on academic publications in AACE Endocrinology and Diabetes.","Aims and Scope: Published by Elsevier. Focuses on academic publications in AACE Endocrinology and Diabetes."
"Aacn Advanced Critical Care","1559-7768","Nursing","Web of Science - ESCI","Aims and Scope: AACN Advanced Critical Care is a peer-reviewed nursing journal and an official publication of the American Association of Critical Care Nurses. It is","Aims and Scope: AACN Advanced Critical Care is a peer-reviewed nursing journal and an official publication of the American Association of Critical Care Nurses. It is"
"A & A Practice","2575-3126","Anesthesiology","Web of Science - ESCI","Explore A&A Practice, featuring peer‑reviewed articles, clinical studies, and the latest medical research.","Explore A&A Practice, featuring peer‑reviewed articles, clinical studies, and the latest medical research."
"A&C-Revista De Direito Administrativo & Constitucional","1516-3210","Law","Web of Science - ESCI","A&C - Revista de Direito Administrativo & Constitucional","A&C - Administrative & Constitutional Law Magazine"
"Aapg Bulletin","0149-1423","Geosciences, Multidisciplinary","Web of Science - SCIE","Aims and Scope: The AAPG Bulletin is a monthly peer-reviewed scientific journal covering geosciences and associated technologies relating to the energy industry. It is","Aims and Scope: The AAPG Bulletin is a monthly peer-reviewed scientific journal covering geosciences and associated technologies relating to the energy industry. It is"
"Aapps Bulletin","2309-4710","Physics, Multidisciplinary","Web of Science - ESCI","AAPPS Bulletin is an open access journal publishing high-quality research articles and reviews in all areas of physics. High visibility work with open ...","AAPPS Bulletin is an open access journal publishing high-quality research articles and reviews in all areas of physics. High visibility work with open ..."
"Aaps Journal","1550-7416","Pharmacology & Pharmacy","Web of Science - SCIE","Aims and scopeEditorial boardEditorial policiesEthics and disclosuresRights and permissionsContact the journal","Aims and scopeEditorial boardEditorial policiesEthics and disclosuresRights and permissionsContact the journal"
"Aaps Pharmscitech","1530-9932","Pharmacology & Pharmacy","Web of Science - SCIE","AAPS PharmSciTech is an official journal of the American Association of Pharmaceutical Scientists, focusing on the research, development, and evaluation of ...","AAPS PharmSciTech is an official journal of the American Association of Pharmaceutical Scientists, focusing on the research, development, and evaluation of ..."
"Aatcc Journal Of Research","2472-3444","Materials Science, Textiles","Web of Science - SCIE","Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of AATCC Journal of Research.","Aims and Scope: Published by SAGE Publications. Focuses on scholarly research in the field of AATCC Journal of Research."
"Aatcc Review","1532-8813","Chemistry, Applied, Engineering, Chemical, Materials Science, Textiles","Web of Science - SCIE","AATCC Review (and its predecessors) has published textile research and news since 1969. AATCC Review covers fibers to finished products, and chemical","AATCC Review (and its predecessors) has published textile research and news since 1969. AATCC Review covers fibers to finished products, and chemical"
"Abacus-A Journal Of Accounting Finance And Business Studies","0001-3072","Business, Finance","Web of Science - SSCI","Aims and Scope: An abacus (pl. abaci or abacuses), also called a counting frame, is a hand-operated calculating tool which was used from ancient times, in the ancient","Aims and Scope: An abacus (pl. abaci or abacuses), also called a counting frame, is a hand-operated calculating tool which was used from ancient times, in the ancient"
