Journal title,ISSN,eISSN,Categorias,Indexador
1616-Anuario De Literatura Comparada,0210-7287,2445-2262,Literature,Web of Science - ESCI
20 Et 21-Revue D Histoire,2649-664X,2649-6100,History,Web of Science - AHCI
2D Materials,2053-1583,2053-1583,"Nanoscience & Nanotechnology, Materials Science, Multidisciplinary, Physics, Applied",Web of Science - SCIE
3 Biotech,2190-572X,2190-5738,Biotechnology & Applied Microbiology,Web of Science - SCIE
3D Printing And Additive Manufacturing,2329-7662,2329-7670,"Engineering, Manufacturing, Materials Science, Multidisciplinary",Web of Science - SCIE
3D Printing In Medicine,2365-6271,2365-6271,"Radiology, Nuclear Medicine & Medical Imaging",Web of Science - ESCI
3L-Language Linguistics Literature-The Southeast Asian Journal Of English Language Studies,0128-5157,2550-2247,"Language & Linguistics, Literature, Linguistics",Web of Science - ESCI
452 F-Revista De Teoria De La Literatura Y Literatura Comparada,2013-3294,2013-3294,Literature,Web of Science - ESCI
4Or-A Quarterly Journal Of Operations Research,1619-4500,1614-2411,Operations Research & Management Science,Web of Science - SCIE
Aaa-Arbeiten Aus Anglistik Und Amerikanistik,0171-5410,,"Language & Linguistics, Literature",Web of Science - AHCI
Aace Endocrinology And Diabetes,3050-9157,3050-9157,Endocrinology & Metabolism,Web of Science - ESCI
Aacn Advanced Critical Care,1559-7768,1559-7776,Nursing,Web of Science - ESCI
A & A Practice,2575-3126,2575-3126,Anesthesiology,Web of Science - ESCI
A&C-Revista De Direito Administrativo & Constitucional,1516-3210,1984-4182,Law,Web of Science - ESCI
Aapg Bulletin,0149-1423,1558-9153,"Geosciences, Multidisciplinary",Web of Science - SCIE
Aapps Bulletin,2309-4710,2309-4710,"Physics, Multidisciplinary",Web of Science - ESCI
Aaps Journal,1550-7416,1550-7416,Pharmacology & Pharmacy,Web of Science - SCIE
Aaps Pharmscitech,1530-9932,1530-9932,Pharmacology & Pharmacy,Web of Science - SCIE
Aatcc Journal Of Research,2472-3444,2330-5517,"Materials Science, Textiles",Web of Science - SCIE
Aatcc Review,1532-8813,1532-8813,"Chemistry, Applied, Engineering, Chemical, Materials Science, Textiles",Web of Science - SCIE
Abacus-A Journal Of Accounting Finance And Business Studies,0001-3072,1467-6281,"Business, Finance",Web of Science - SSCI
Abakos,2316-9451,2316-9451,"Mathematics, Interdisciplinary Applications",Web of Science - ESCI
Abanico Veterinario,2007-4204,2448-6132,Veterinary Sciences,Web of Science - ESCI
Abcd-Arquivos Brasileiros De Cirurgia Digestiva-Brazilian Archives Of Digestive Surgery,0102-6720,2317-6326,Gastroenterology & Hepatology,Web of Science - ESCI
Abdominal Radiology,2366-004X,2366-0058,"Radiology, Nuclear Medicine & Medical Imaging",Web of Science - SCIE
Abe Journal,2275-6639,2275-6639,Architecture,Web of Science - ESCI
Abhandlungen Aus Dem Mathematischen Seminar Der Universitat Hamburg,0025-5858,1865-8784,Mathematics,Web of Science - SCIE
Ab Imperio-Studies Of New Imperial History And Nationalism In The Post-Soviet Space,2166-4072,2164-9731,History,Web of Science - AHCI
Abiotech,2096-6326,2662-1738,"Biotechnology & Applied Microbiology, Plant Sciences",Web of Science - ESCI
Aboriginal History,0314-8769,1837-9389,History,Web of Science - ESCI
Abriu-Estudos De Textualidade Do Brasil Galicia E Portugal,2014-8526,2014-8534,"Humanities, Multidisciplinary",Web of Science - ESCI
Academia-Revista Latinoamericana De Administracion,1012-8255,2056-5127,"Business, Management",Web of Science - SSCI
Academia Y Virtualidad,2011-0731,2011-0731,Education & Educational Research,Web of Science - ESCI
Academic Emergency Medicine,1069-6563,1553-2712,Emergency Medicine,Web of Science - SCIE
Academic Journal Of Modern Philology,2299-7164,2353-3218,Language & Linguistics,Web of Science - ESCI
Academic Medicine,1040-2446,1938-808X,"Education, Scientific Disciplines, Health Care Sciences & Services",Web of Science - SCIE
Academic Pathology,2374-2895,2374-2895,Pathology,Web of Science - ESCI
Academic Pediatrics,1876-2859,1876-2867,Pediatrics,Web of Science - SCIE
Academic Psychiatry,1042-9670,1545-7230,"Education & Educational Research, Psychiatry",Web of Science - SSCI
Academic Radiology,1076-6332,1878-4046,"Radiology, Nuclear Medicine & Medical Imaging",Web of Science - SCIE
Academy Of Management Annals,1941-6520,1941-6067,"Business, Management",Web of Science - SSCI
Academy Of Management Discoveries,2168-1007,2168-1007,Management,Web of Science - SSCI
Academy Of Management Journal,0001-4273,1948-0989,"Business, Management",Web of Science - SSCI
Academy Of Management Learning & Education,1537-260X,1944-9585,"Education & Educational Research, Management",Web of Science - SSCI
Academy Of Management Perspectives,1558-9080,1943-4529,"Business, Management",Web of Science - SSCI
Academy Of Management Review,0363-7425,1930-3807,"Business, Management",Web of Science - SSCI
Academy Review,2074-5354,2522-9745,"Business, Finance, Economics, Management",Web of Science - ESCI
Acadiensis,0044-5851,1712-7432,History,Web of Science - AHCI
Acarologia,0044-586X,2107-7207,Entomology,Web of Science - SCIE
Access-Access To Science Business Innovation In The Digital Economy,2683-1007,2683-1007,"Business, Computer Science, Interdisciplinary Applications, Economics, Management",Web of Science - ESCI
Access To Justice In Eastern Europe,2663-0575,2663-0583,Law,Web of Science - ESCI
Accident Analysis And Prevention,0001-4575,1879-2057,"Ergonomics, Public, Environmental & Occupational Health, Social Sciences, Interdisciplinary, Transportation",Web of Science - SSCI
Acciones E Investigaciones Sociales,1132-192X,2340-4507,"Social Sciences, Interdisciplinary",Web of Science - ESCI
Accion Psicologica,1578-908X,2255-1271,"Psychology, Multidisciplinary",Web of Science - ESCI
Accountability In Research-Ethics Integrity And Policy,0898-9621,1545-5815,Medical Ethics,Web of Science - SCIE
Accounting And Business Research,0001-4788,2159-4260,"Business, Finance",Web of Science - SSCI
Accounting And Finance,0810-5391,1467-629X,"Business, Finance",Web of Science - SSCI
Accounting Auditing & Accountability Journal,1368-0668,1758-4205,"Business, Finance",Web of Science - SSCI
