Título da Revista;ISSN;Homepage;Aims and Scope: ;Aims and Scope (translate);Área;Subárea;Sub-subárea;Indexador;JIF;Quartil JCR;SJR;SJR Best Quartile;H index;Índice h5
ACI MATERIALS JOURNAL;0889-325X;http://books.google.com/books?id=yvBVAAAAMAAJ;Aims and Scope: Published by American Concrete Institute. Focuses on scholarly research in the field of ACI Materials Journal.;Aims and Scope: Published by American Concrete Institute. Focuses on scholarly research in the field of ACI Materials Journal.;Ciências Agrárias;Agronomia;Agronomia, Ciência do Solo;Web of Science;1,8;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ACI%20MATERIALS%20JOURNAL&btnG=
ACTA PHYSICA POLONICA B;0587-4254;http://th-www.if.uj.edu.pl/acta;Aims and Scope: Physique. In 1970, it was split into two journals Acta Physica Polonica A and Acta Physica Polonica B. The two journals became independent in 1995, with;Aims and Scope: Physique. In 1970, it was split into two journals Acta Physica Polonica A and Acta Physica Polonica B. The two journals became independent in 1995, with;Ciências Agrárias;Agronomia;Agricultura, Multidisciplinar;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ACTA%20PHYSICA%20POLONICA%20B&btnG=
ACTA PHYSICO-CHIMICA SINICA;1000-6818;http://www.whxb.pku.edu.cn/EN/1000-6818/home.shtml;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Acta Physico-Chimica Sinica.;Aims and Scope: Published by Elsevier. Focuses on scholarly research in the field of Acta Physico-Chimica Sinica.;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Economia e Política Agrícola, Ciência e Tecnologia de Alimentos;Web of Science;2;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ACTA%20PHYSICO-CHIMICA%20SINICA&btnG=
ACTA PHYSIOLOGICA;1748-1708;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1748-1716;Aims and Scope: Acta Physiologica is a monthly peer-reviewed scientific journal that is published by Wiley-Blackwell on behalf of the Scandinavian Physiological Society;Aims and Scope: Acta Physiologica is a monthly peer-reviewed scientific journal that is published by Wiley-Blackwell on behalf of the Scandinavian Physiological Society;Ciências Agrárias;Agronomia;Agricultura, Multidisciplinar, Ciência e Tecnologia de Alimentos;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ACTA%20PHYSIOLOGICA&btnG=
ACTA POLYTECHNICA HUNGARICA;1785-8860;http://www.uni-obuda.hu/journal;Aims and Scope: Published by Óbuda University. Focuses on scholarly research in the field of Acta Polytechnica Hungarica.;Aims and Scope: Published by Óbuda University. Focuses on scholarly research in the field of Acta Polytechnica Hungarica.;Ciências Agrárias;Agronomia;Agronomia, Recursos Hídricos;Web of Science;6,5;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ACTA%20POLYTECHNICA%20HUNGARICA&btnG=
ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA;0001-6896;http://www.acta.org.ar/04-WebForms/frmVolumenes.aspx?IdAbonado=;;;Ciências Agrárias;Agronomia;Agronomia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ACTA%20PSIQUIATRICA%20Y%20PSICOLOGICA%20DE%20AMERICA%20LATINA&btnG=
ACTA PSYCHOLOGICA SINICA;0439-755X;http://journal.psych.ac.cn/acps/EN/0439-755X/home.shtml;Aims and Scope: Acta Psychologica Sinica (also known as Xin Li Xue Bao) is a monthly peer-reviewed Chinese-language scientific journal of psychology. It was established;Aims and Scope: Acta Psychologica Sinica (also known as Xin Li Xue Bao) is a monthly peer-reviewed Chinese-language scientific journal of psychology. It was established;Ciências Agrárias;Agronomia;Agricultura, Multidisciplinar, Ciência e Tecnologia Verde e Sustentável;Web of Science;2,6;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ACTA%20PSYCHOLOGICA%20SINICA&btnG=
ACTA RADIOLOGICA;0284-1851;https://us.sagepub.com/en-us/nam/journal/acta-radiologica;Aims and Scope: Acta Radiologica is a peer-reviewed medical journal covering the field of radiology, including diagnostic and interventional radiology, clinical radiology;Aims and Scope: Acta Radiologica is a peer-reviewed medical journal covering the field of radiology, including diagnostic and interventional radiology, clinical radiology;Ciências Agrárias;Agronomia;Agronomia, Silvicultura;Web of Science;2,2;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ACTA%20RADIOLOGICA&btnG=
ADVANCES IN DIGESTIVE MEDICINE;2351-9797;https://onlinelibrary.wiley.com/journal/23519800;Aims and Scope: loss, change in sleep quality, fevers, lumps and bumps? etc.), followed by questions on the body&#039,s main organ systems (heart, lungs, digestive tract, urinary;Aims and Scope: loss, change in sleep quality, fevers, lumps and bumps? etc.), followed by questions on the body&#039,s main organ systems (heart, lungs, digestive tract, urinary;Ciências Agrárias;Agronomia;Agricultura, Laticínios e Zootecnia, Ciências Veterinárias;Web of Science;4,2;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ADVANCES%20IN%20DIGESTIVE%20MEDICINE&btnG=
ADVANCES IN ENERGY RESEARCH;2287-6316;http://www.techno-press.org/?journal=eri&subpage=7#;Aims and Scope: sustainable energy research from 2020 to the present documents research and development in renewable energy, solar energy, and nuclear energy, particularly;Aims and Scope: sustainable energy research from 2020 to the present documents research and development in renewable energy, solar energy, and nuclear energy, particularly;Ciências Agrárias;Agronomia;Agricultura, Laticínios e Zootecnia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ADVANCES%20IN%20ENERGY%20RESEARCH&btnG=
ADVANCES IN INTEGRATIVE MEDICINE;2212-9588;https://www.journals.elsevier.com/advances-in-integrative-medicine;Aims and Scope: for Integrative Medicine, School of Medicine, University of Maryland. Archived from the original on 2013-09-28. &quot,Center for Integrative Medicine&quot,. University;Aims and Scope: for Integrative Medicine, School of Medicine, University of Maryland. Archived from the original on 2013-09-28. &quot,Center for Integrative Medicine&quot,. University;Ciências Agrárias;Agronomia;Agricultura, Laticínios e Zootecnia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ADVANCES%20IN%20INTEGRATIVE%20MEDICINE&btnG=
ADVANCES IN PHYSICS;0001-8732;https://www.tandfonline.com/toc/tadp20/current;Aims and Scope: Advances in Physics is a bimonthly scientific journal published by Taylor &amp, Francis that was established in 1952. The journal is also issued as a supplement;Aims and Scope: Advances in Physics is a bimonthly scientific journal published by Taylor &amp, Francis that was established in 1952. The journal is also issued as a supplement;Ciências Agrárias;Agronomia;Agricultura, Laticínios e Zootecnia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ADVANCES%20IN%20PHYSICS&btnG=
AILA REVIEW;1461-0213;http://www.benjamins.nl/cgi-bin/t_seriesview.cgi?series=AILA;Aims and Scope: Published by John Benjamins Publishing Company. Focuses on scholarly research in the field of AILA Review.;Aims and Scope: Published by John Benjamins Publishing Company. Focuses on scholarly research in the field of AILA Review.;Ciências Agrárias;Recursos Pesqueiros e Engenharia de Pesca;Economia e Política Agrícola, Pesca;Web of Science;3,7;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AILA%20REVIEW&btnG=
AJSP-REVIEWS AND REPORTS;2381-5949;http://journals.lww.com/pathologycasereviews/pages/default.aspx;Aims and Scope: Sweden&quot,. Asian Journal of Social Psychology. 24 (2): 198–207. doi:10.1111/ajsp.12444. ISSN 1367-2223. S2CID 229454695. Jylhä, Kirsti M., Cantal, Clara,;Aims and Scope: Sweden&quot,. Asian Journal of Social Psychology. 24 (2): 198–207. doi:10.1111/ajsp.12444. ISSN 1367-2223. S2CID 229454695. Jylhä, Kirsti M., Cantal, Clara,;Ciências Agrárias;Agronomia;Agricultura, Laticínios e Zootecnia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AJSP-REVIEWS%20AND%20REPORTS&btnG=
AKTUALNI GYNEKOLOGIE A PORODNICTVI;1803-9588;http://www.actualgyn.com/en/home.php;;;Ciências Agrárias;Agronomia;Agricultura, Laticínios e Zootecnia;Web of Science;1,5;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=AKTUALNI%20GYNEKOLOGIE%20A%20PORODNICTVI&btnG=
