Título da Revista;ISSN;Homepage;Aims and Scope;Aims and Scope (translate);Grande Area;Area do Conhecimento;Subárea do Conhecimento;Indexador;JIF;Quartil JCR;SJR;SJR Best Quartile;H index;Índice h5
Sokendai Review of Cultural and Social Studies;1883-1362;https://ir.soken.ac.jp/search?search_type=2&q=43;総合研究大学院大学学術情報リポジトリは、総合研究大学院大学の学術成果物を公開することで、学術交流の発展のために広く貢献することを目的としています。;The Graduate University for Advanced Studies Academic Information Repository aims to widely contribute to the development of academic exchange by making the academic products of the Graduate University for Advanced Studies publicly available.;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Sociais;Scopus;-;-;0,101;Q4;3.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=Sokendai%20Review%20of%20Cultural%20and%20Social%20Studies&btnG=
ACI MATERIALS JOURNAL;0889-325X;http://books.google.com/books?id=yvBVAAAAMAAJ;;;Ciências Agrárias;Agronomia;Agronomia, Ciência do Solo;Web of Science;1,8;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ACI%20MATERIALS%20JOURNAL&btnG=
ACTA PHYSICA POLONICA B;0587-4254;http://th-www.if.uj.edu.pl/acta;;;Ciências Agrárias;Agronomia;Agricultura, Multidisciplinar;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ACTA%20PHYSICA%20POLONICA%20B&btnG=
ACTA PHYSICO-CHIMICA SINICA;1000-6818;http://www.whxb.pku.edu.cn/EN/1000-6818/home.shtml;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Economia e Política Agrícola, Ciência e Tecnologia de Alimentos;Web of Science;2;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ACTA%20PHYSICO-CHIMICA%20SINICA&btnG=
ACTA PHYSIOLOGICA;1748-1708;http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1748-1716;;;Ciências Agrárias;Agronomia;Agricultura, Multidisciplinar, Ciência e Tecnologia de Alimentos;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ACTA%20PHYSIOLOGICA&btnG=
ACTA POLYTECHNICA HUNGARICA;1785-8860;http://www.uni-obuda.hu/journal;;;Ciências Agrárias;Agronomia;Agronomia, Recursos Hídricos;Web of Science;6,5;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ACTA%20POLYTECHNICA%20HUNGARICA&btnG=
ACTA PROTOZOOLOGICA;0065-1583;http://www.ejournals.eu/acta-protozoologica;Subjects: Biology (General), Infectious and parasitic diseases. Keywords: protistology, cell biology, molecular biology, genetics, parasitology, biology;Subjects: Biology (General), Infectious and parasitic diseases. Keywords: protistology, cell biology, molecular biology, genetics, parasitology, biology;Ciências Agrárias;Agronomia;Agricultura, Multidisciplinar, História e Filosofia da Ciência;Web of Science;3,6;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ACTA%20PROTOZOOLOGICA&btnG=
ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA;0001-6896;http://www.acta.org.ar/04-WebForms/frmVolumenes.aspx?IdAbonado=;;;Ciências Agrárias;Agronomia;Agronomia;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ACTA%20PSIQUIATRICA%20Y%20PSICOLOGICA%20DE%20AMERICA%20LATINA&btnG=
ACTA PSYCHOLOGICA SINICA;0439-755X;http://journal.psych.ac.cn/acps/EN/0439-755X/home.shtml;;;Ciências Agrárias;Agronomia;Agricultura, Multidisciplinar, Ciência e Tecnologia Verde e Sustentável;Web of Science;2,6;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ACTA%20PSYCHOLOGICA%20SINICA&btnG=
ACTA RADIOLOGICA;0284-1851;https://us.sagepub.com/en-us/nam/journal/acta-radiologica;;;Ciências Agrárias;Agronomia;Agronomia, Silvicultura;Web of Science;2,2;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=ACTA%20RADIOLOGICA&btnG=
