Título da Revista,ISSN,Homepage,Área do Conhecimento Traduzido,Grande Área CNPq 1,Grande Área CNPq 2,Indexador,JIF,Quartil JCR,SJR,SJR Best Quartile,H index,CNPq_Grande_Area,CNPq_Area_Conhecimento
1616-ANUARIO DE LITERATURA COMPARADA,0210-7287,,"Aplicada, Multidisciplinar, Física, Nanociência e Nanotecnologia, Ciência dos Materiais",Outros,,Web of Science,"4,3",Q2,-,-,-,Engenharias,Engenharia de Materiais e Metalúrgica
1700-tal: Nordic Journal for Eighteenth-Century Studies,2001-9866,,"Artes e Humanidades, Ciências Sociais","Letras e Artes, Lingüística",Ciências Humanas,Scopus,-,-,"0,101",Q4,3.0,"Lingüística, Letras e Artes",Artes
20 & 21: Revue d'Histoire,2649-664X,,Artes e Humanidades,"Letras e Artes, Lingüística",,Scopus,-,-,"0,117",Q3,18.0,"Lingüística, Letras e Artes",Artes
20 ET 21-REVUE D HISTOIRE,2649-664X,,Biotecnologia e Microbiologia Aplicada,Outros,,Web of Science,"2,9",Q2,-,-,-,Ciências Biológicas,Biologia Geral
2D MATERIALS,2053-1583,,"Engenharia, Manufatura, Ciência dos Materiais, Multidisciplinar",Engenharias,Multidisciplinar,Web of Science,"2,1",Q3,-,-,-,Engenharias,Engenharia de Materiais e Metalúrgica
2D Materials,2053-1583,,"Ciência dos Materiais, Engenharia, Física e Astronomia, Química",Ciências Exatas e da Terra,Engenharias,Scopus,-,-,"1,09",Q1,114.0,Ciências Exatas e da Terra,Astronomia
3 BIOTECH,2190-572X,,Pesquisa Operacional e Ciência da Gestão,Outros,,Web of Science,"2,6",Q2,-,-,-,Outras / Não Classificado,Geral / Multidisciplinar
3 Biotech,2190-572X,,"Bioquímica, Ciência Ambiental, Ciências Agrárias e Biológicas, Genética e Biologia Molecular",Ciências Agrárias,Ciências Exatas e da Terra,Scopus,"2,9",Q2,"0,658",Q1,102.0,Ciências Biológicas,Biologia Geral
3C EMPRESA,2254-3376,,"Geociências, Multidisciplinar",Multidisciplinar,,Web of Science,-,-,-,-,-,Outras / Não Classificado,Geral / Multidisciplinar
3C TECNOLOGIA,2254-4143,,Farmacologia e Farmácia,Outros,,Web of Science,"3,7",Q2,-,-,-,Ciências Biológicas,Farmacologia
3C TIC,2254-6529,,Farmacologia e Farmácia,Outros,,Web of Science,4,Q1,-,-,-,Ciências Biológicas,Farmacologia
