Título,ISSN,Indexador,Área
Cadernos de Pesquisa (Fundação Carlos Chagas),0100-1574,Educ@,Educação
Educação & Sociedade,0101-7330,Educ@,Educação
Revista Brasileira de Educação (ANPEd),1413-2478,Educ@,Educação
Educação em Revista (UFMG),0102-4698,Educ@,Educação
Educação & Realidade,0100-3143,Educ@,Educação
Cadernos CEDES,0101-3262,Educ@,Educação
Ensaio: Avaliação e Políticas Públicas em Educação,0104-4036,Educ@,Educação
Revista Brasileira de Estudos Pedagógicos (RBEP),0034-7183,Educ@,Educação
Práxis Educativa (UEPG),1809-4031,Educ@,Educação
Revista Diálogo Educacional,1518-3483,Educ@,Educação
Roteiro (UNOESC),0104-4311,Educ@,Educação
Educação (PUCRS),0100-3127,Educ@,Educação
Revista Eletrônica de Educação (REVEDUC),1982-7199,Educ@,Educação
Ensaio Pesquisa em Educação em Ciências,1415-2150,Educ@,Educação
Cadernos de História da Educação,1679-1304,Educ@,Educação
Educação e Pesquisa (USP),1517-9702,Educ@,Educação
Pro-Posições (UNICAMP),0103-7307,Educ@,Educação
Revista Brasileira de História da Educação,1519-5902,Educ@,Educação
Linhas Críticas (UnB),1516-4896,Educ@,Educação
Educação: Teoria e Prática,1415-837X,Educ@,Educação
Revista Brasileira de Educação Especial,1413-6538,Educ@,Educação
Interações (Saddi/UCDB),1518-7012,Educ@,Educação
RBPG. Revista Brasileira de Pós-Graduação,1806-8162,Educ@,Educação
Cadernos de Pesquisa: Pensamento Educacional,1982-2510,Educ@,Educação
Revista Lusófona de Educação,1645-7250,Educ@,Educação
Educação e Fronteiras On-Line,1984-3704,Educ@,Educação
EccoS Revista Científica,1517-1949,Educ@,Educação
Revista Portuguesa de Educação,0871-9187,Educ@,Educação
Archivos Analíticos de Políticas Educativas,1068-2341,Educ@,Educação
