titulo_revista,aims_scope,indexador,jif,sjr,grande_area,S_text,S_index,fator_impacto,Score_final
Ensenanza de las Ciencias,"Enseñanza de las Ciencias es una revista dirigida a profesores e investigadores del campo de la didáctica de las ciencias y de las matemáticas. Acepta trabajos con rigor metodológico y fundamentación científica que supongan una contribución al progreso del conocimiento en esas áreas. Se publica en papel desde el año 1983, se abrió la edición electrónica el año 2010 y es a partir del 2015 que la revista se publica exclusivamente en formato digital y en abierto, de forma que los contenidos se pueden leer y descargar sin restricciones.","Scopus, Web of Science - SSCI",1.1,375.0,Others / Unclassified,0.5648581,1.0,375.0,0.6518864750862121
Educacion y Humanismo,"Educación y Humanismo es una revista científica arbitrada que cubre todos los campos de la Educación y la Pedagogía. Acepta trabajos con enfoques transdiciplinarios en la comprensión de los fenómenos educativos en un contexto nacional, regional y global, incluidos los estudios culturales, de género y de diversidad. Esta publicación se dirige a personas expertas en las áreas educativas, pedagógicas, al magisterio, a estudiantes posgrado en las áreas de educación, ciencias sociales y humanidades. Se publica en formato digital en la modalidad de acceso abierto (Open Access). Acepta artículos en español, inglés y portugués, que no hayan sido publicados en otras revistas. No se cobra por publicar. Se rige por la ruta diamante. Todos los artículos que se presenten y que cumplen con las normas de",Scopus,,137.0,"Letters And Arts, Linguistics",0.57500064,0.8,137.0,0.6200005149841309
Praksis,"Sobre a Revista Prâksis é a revista eletrônica semestral de acesso aberto do Programa de Pós-graduação em Processos e Manifestações Culturais da Universidade Feevale, com publicações desde 2004, que tem como foco promover estudos avançados que se orientem para os processos e manifestações culturais. Tais estudos justificam-se pela importância que os referenciais históricos e as reflexões estéticas – percebidos como parte de uma memória fundante que se concretizou por meio de atos de comunicação, enunciados em diferentes linguagens – assumem na constituição de identidades coletivas regionais e nacionais, caracterizando a área de concentração, denominada Processos e Manifestações Culturais que foi pensada a partir de uma visão interdisciplinar que permite o diálogo e associa os saberes espec",Scopus,,112.0,"Letters And Arts, Linguistics",0.5519388,0.8,112.0,0.6015510296821595
Informacao & Sociedade-Estudos,"Missão: é promover um debate científico qualificado sobre temas acadêmicos relevantes, embasados em pesquisas empíricas e/ou análises teóricas. A Política & Trabalho se destina a promover o intercâmbio de conhecimento entre brasileiros e estrangeiros, sejam eles pesquisadores ou público interessado. Acessar revista Edição Atual Revista Espaço do Currículo A Revista Espaço do Currículo (REC) é um periódico. O Portal de Periódicos da Universidade Federal da Paraíba (UFPB) tem como objetivo ampliar a visibilidade e a disseminação da produção científica da instituição por meio da publicação de revistas eletrônicas científicas elaboradas e gerenciadas por pesquisadores vinculados à UFPB. O portal promove o acesso aberto à informação científica e tecnológica, contribuindo para a difusão do conhecimento e para o fortalecimento da comunicação científica. Além disso, oferece suporte técnico e editorial aos editores de periódicos da instituição, em consonância com as diretrizes da Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES) e do Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq) para a gestão e qualificação de periódicos científicos.",Web of Science - SSCI,2.5,,Health Sciences,0.49518117,1.0,2.5,0.5961449563503265
Humanidades,"Sobre la revista Humanidades: revista de la Universidad de Montevideo es una publicación científica, de acceso abierto, indexada y revisada por pares. Editada por la Facultad de Humanidades y Educación de la Universidad de Montevideo. Publica artículos de Filosofía, Historia, Literatura y Arte y acepta colaboraciones científicas en idioma español, inglés, francés y portugués, de especialistas de diversos centros nacionales y extranjeros. La revista está indexada en: ERIHPLUS, Dialnet, DOAJ, EBSCO-Academic Search Ultimate, Latindex, Scielo, Scopus, entre otros. Frecuencia de publicación: semestral, primer número: enero-junio y segundo número: julio- diciembre, ambos en modalidad de publicación continua. La publicación de los textos se realiza de forma inmediata a su aprobación y maquetación",Scopus,,114.0,"Letters And Arts, Linguistics",0.54093575,0.8,114.0,0.5927486157417298
Atalante,"Esta revista es un vehículo de expresión tanto de los profesionales como de los teóricos del medio y abarca, además de la praxis del cine, los más diversos temas comprendidos en el ámbito del audiovisual contemporáneo.",Scopus,0.1,139.0,"Letters And Arts, Linguistics",0.5334624,0.8,139.0,0.5867699420452118
Calidoscopio,"Sobre a Revista A revista Calidoscópio, Qualis A1 (2021-2024), está indexada em importantes bases de dados/diretórios. Até o ano de 2023 contou com publicação quadrimestral da Universidade do Vale do Rio dos Sinos. Em 2024, foram publicados dois volumes, devido a redirecionamentos institucionais da revista. A partir deste ano de 2025, muda seu escopo para a área da gestão educacional, ainda que se mantenha como espaço para publicação de artigos sobre temáticas voltadas ao ensino e à aprendizagem de línguas. O título Calidoscópio representa o propósito editorial de se contemplarem e articularem os múltiplos domínios de saber que integram a área de conhecimento da gestão educacional. Apresenta-se sob a perspectiva de que é possível, a partir de diferentes prismas teóricos, produzir, à semelh",Scopus,,101.0,Others / Unclassified,0.5320737,0.8,101.0,0.5856589412689209
Revista Musical Chilena,"Fundada en 1945, la Revista Musical Chilena ha identificado como su principal área de interés la música en Chile y en América Latina, sobre la base tanto de los aspectos musicales propiamente tales como del marco histórico y sociocultural, desde la perspectiva de la musicología y de otras disciplinas relacionadas. Considera propuestas originales de estudios o trabajos científicos que traten acerca de temas vinculados a compositores, ejecutantes, audiencias e instrumentos de la música clásica, folclórica o tradicional, popular urbana y de las culturas originarias, al igual que propuestas originales de trabajos científicos atinentes a manuscritos, investigadores, aspectos teóricos y modelos musicológicos, además de nuevos enfoques de la musicología como disciplina, tanto en Chile como en Amé","Scopus, Web of Science - AHCI",0.2,0.1,"Letters And Arts, Linguistics, Others / Unclassified",0.5280148,0.8,0.2,0.5824118292331696
Revista de Letras,"Como um fórum de discussão sobre a literatura, a Revista de Letras não privilegia qualquer abordagem crítica ou teoria em específico, encorajando a diversidade de abordagens e enfoques teórico-metodológicos no trato com a literatura. O escopo da Revista de Letras é a literatura, considerada em si mesma ou em relação com outras áreas da cultura, como cinema, artes plásticas, música, arquitetura e mídia. Também serão aceitos artigos que tratem de quaisquer desses objetos culturais em si, desde que haja alguma pertinência aos estudos literários. As abordagens a estes objetos culturais deverão manter uma interface com a metodologia dos estudos literários, para que estes artigos possam ser analisados pelo corpo editorial a partir da perspectiva da literatura comparada.

Publicação semestral | I","Scopus, Web of Science - AHCI",0.2,106.0,"Letters And Arts, Linguistics, Others / Unclassified",0.5264604,0.8,106.0,0.581168327331543
Revista da Abordagem Gestaltica,"PHENOMENOLOGICAL STUDIES - Revista da Abordagem GestÃ¡ltica foi criada com o objetivo de ser um veÃ­culo de publicaÃ§Ã£o da Abordagem GestÃ¡ltica, bem como daquelas abordagens que se fundamentam em bases teÃ³rico-cientÃ­ficas e filosÃ³ficas dentro das perspectivas humanistas, fenomenolÃ³gicas e existenciais. Atualmente, suas diretrizes editoriais procuram privilegiar reflexÃµes numa perspectiva multiprofissional e interdisciplinar em torno dos seguintes temas: a) Fenomenologia; b) Psicologia FenomenolÃ³gica; c) Filosofias da ExistÃªncia; d) Psicologias Humanistas e Existenciais; e) Pesquisa em CiÃªncias da SaÃºde, Humanas e Sociais. SerÃ£o aceitos para apreciaÃ§Ã£o artigos de pesquisa empÃ­rica e artigos teÃ³ricos, que envolvam temÃ¡ticas relacionadas Ã saÃºde, educaÃ§Ã£o, humanidades, fil",Scopus,,102.0,Humanities,0.5191592,0.8,102.0,0.5753273701667786
