Areas,Title,issues,Last volume,Last number,Last year,Is active?
,,,,,,
,,,,,,
,,,,,,
"Agricultural Sciences,Biological Sciences,Exact and Earth Sciences,Health Sciences",Acta Amazonica,220,56,,2026,True
Agricultural Sciences,Acta Scientiarum. Agronomy,51,48,,2026,True
Agricultural Sciences,Acta Scientiarum. Animal Sciences,36,48,,2026,True
"Agricultural Sciences,Biological Sciences,Engineering,Exact and Earth Sciences,Health Sciences,Human Sciences",Anais da Academia Brasileira de Ciências,139,98,2,2026,True
,,,,,,
Agricultural Sciences,Animal Reproduction,30,23,3,2026,True
Agricultural Sciences,Arquivo Brasileiro de Medicina Veterinária e Zootecnia,166,78,3,2026,True
Agricultural Sciences,Arquivos do Instituto Biológico,94,93,,2026,True
Agricultural Sciences,Bragantia,249,85,,2026,True
"Agricultural Sciences,Biological Sciences,Engineering,Health Sciences",Brazilian Archives of Biology and Technology,124,69,,2026,True
Agricultural Sciences,Brazilian Journal of Food Technology,30,29,,2026,True
Agricultural Sciences,Brazilian Journal of Poultry Science,105,28,1,2026,True
,,,,,,
Agricultural Sciences,CERNE,50,32,,2026,True
Agricultural Sciences,Ciência Animal Brasileira,26,27,,2026,True
Agricultural Sciences,Ciência Florestal,101,36,,2026,True
Agricultural Sciences,Ciência Rural,295,56,7,2026,True
Agricultural Sciences,Ciência e Agrotecnologia,106,50,,2026,True
"Agricultural Sciences,Biological Sciences",Crop Breeding and Applied Biotechnology,67,26,1,2026,True
Agricultural Sciences,Engenharia Agrícola,114,46,,2026,True
,,,,,,
Agricultural Sciences,Floresta e Ambiente,85,33,,2026,True
,,,,,,
Agricultural Sciences,Horticultura Brasileira,98,44,,2026,True
Agricultural Sciences,Journal of Seed Science,35,48,,2026,True
,,,,,,
"Agricultural Sciences,Biological Sciences,Health Sciences",Journal of Venomous Animals and Toxins including Tropical Diseases,52,32,,2026,True
Agricultural Sciences,Ornamental Horticulture,28,32,,2026,True
Agricultural Sciences,Pesquisa Agropecuária Brasileira,248,61,,2026,True
Agricultural Sciences,Pesquisa Agropecuária Tropical,41,56,,2026,True
Agricultural Sciences,Pesquisa Veterinária Brasileira,217,46,,2026,True
,,,,,,
"Agricultural Sciences,Biological Sciences",Revista Ambiente & Água,58,21,,2026,True
Agricultural Sciences,Revista Brasileira de Ciência do Solo,117,50,,2026,True
Agricultural Sciences,Revista Brasileira de Engenharia Agrícola e Ambiental,247,30,4,2026,True
,,,,,,
,,,,,,
Agricultural Sciences,Revista Brasileira de Saúde e Produção Animal,36,27,,2026,True
,,,,,,
Agricultural Sciences,Revista Brasileira de Zootecnia,203,55,,2026,True
Agricultural Sciences,Revista Caatinga,37,39,,2026,True
"Agricultural Sciences,Biological Sciences",Revista Ceres,88,73,,2026,True
Agricultural Sciences,Revista Ciência Agronômica,56,57,,2026,True
,,,,,,
Agricultural Sciences,Revista Árvore,114,50,,2026,True
Agricultural Sciences,Scientia Agricola,160,83,,2026,True
Agricultural Sciences,Summa Phytopathologica,72,52,,2026,True
,,,,,,
,,,,,,
Agricultural Sciences,Advances in Weed Science,8,44,,2026,True
Agricultural Sciences,Boletim do Instituto de Pesca,3,52,,2026,True
