﻿Título da Revista;ISSN;Homepage;Grande Area;Area do Conhecimento;Subárea do Conhecimento;Indexador;JIF;Quartil JCR;SJR;SJR Best Quartile;H index;Índice h5
1616-ANUARIO DE LITERATURA COMPARADA;0210-7287;http://revistas.usal.es/index.php/1616_Anuario_Literatura_Comp/index;Engenharias;Engenharia de Materiais e Metalúrgica;Aplicada, Multidisciplinar, Física, Nanociência e Nanotecnologia, Ciência dos Materiais;Web of Science;4,3;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=1616-ANUARIO%20DE%20LITERATURA%20COMPARADA&btnG=
1700-tal: Nordic Journal for Eighteenth-Century Studies;2001-9866;https://septentrio.uit.no/index.php/1700;Lingüística, Letras e Artes;Artes;Artes e Humanidades, Ciências Sociais;Scopus;-;-;0,101;Q4;3.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=1700-tal%3A%20Nordic%20Journal%20for%20Eighteenth-Century%20Studies&btnG=
20 & 21: Revue d'Histoire;2649-664X;https://www.pressesdesciencespo.fr/fr/revues/2021revuedhistoire/;Lingüística, Letras e Artes;Artes;Artes e Humanidades;Scopus;-;-;0,117;Q3;18.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=20%20%26%2021%3A%20Revue%20d%27Histoire&btnG=
20 ET 21-REVUE D HISTOIRE;2649-664X;https://www.pressesdesciencespo.fr/fr/revues/2021revuedhistoire/;Ciências Biológicas;Biologia Geral;Biotecnologia e Microbiologia Aplicada;Web of Science;2,9;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=20%20ET%2021-REVUE%20D%20HISTOIRE&btnG=
2D MATERIALS;2053-1583;http://iopscience.iop.org/2053-1583;Engenharias;Engenharia de Materiais e Metalúrgica;Engenharia, Manufatura, Ciência dos Materiais, Multidisciplinar;Web of Science;2,1;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=2D%20MATERIALS&btnG=
2D Materials;2053-1583;http://iopscience.iop.org/2053-1583;Ciências Exatas e da Terra;Astronomia;Ciência dos Materiais, Engenharia, Física e Astronomia, Química;Scopus;-;-;1,09;Q1;114.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=2D%20Materials&btnG=
3 BIOTECH;2190-572X;https://www.springer.com/journal/13205;Outras / Não Classificado;Geral / Multidisciplinar;Pesquisa Operacional e Ciência da Gestão;Web of Science;2,6;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=3%20BIOTECH&btnG=
3 Biotech;2190-572X;https://www.springer.com/journal/13205;Ciências Biológicas;Biologia Geral;Bioquímica, Ciência Ambiental, Ciências Agrárias e Biológicas, Genética e Biologia Molecular;Scopus;2,9;Q2;0,658;Q1;102.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=3%20Biotech&btnG=
3C EMPRESA;2254-3376;http://ojs.3ciencias.com/index.php/3c-empresa/index;Outras / Não Classificado;Geral / Multidisciplinar;Geociências, Multidisciplinar;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=3C%20EMPRESA&btnG=
3C TECNOLOGIA;2254-4143;http://www.3ciencias.com/revistas/categoria/tecnologia/;Ciências Biológicas;Farmacologia;Farmacologia e Farmácia;Web of Science;3,7;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=3C%20TECNOLOGIA&btnG=
3C TIC;2254-6529;http://ojs.3ciencias.com/index.php/3c-tic/index;Ciências Biológicas;Farmacologia;Farmacologia e Farmácia;Web of Science;4;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=3C%20TIC&btnG=
3D PRINTING AND ADDITIVE MANUFACTURING;2329-7662;http://www.liebertpub.com/3dp;Engenharias;Engenharia de Materiais e Metalúrgica;Ciência dos Materiais, Têxteis;Web of Science;1,2;Q3;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=3D%20PRINTING%20AND%20ADDITIVE%20MANUFACTURING&btnG=
3D PRINTING IN MEDICINE;2365-6271;https://threedmedprint.biomedcentral.com/;Engenharias;Engenharia de Materiais e Metalúrgica;Aplicada, Engenharia, Química, Ciência dos Materiais, Química, Têxteis;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=3D%20PRINTING%20IN%20MEDICINE&btnG=
3D Printing and Additive Manufacturing;2329-7662;http://www.liebertpub.com/3dp;Engenharias;Engenharia de Materiais e Metalúrgica;Ciência dos Materiais, Engenharia;Scopus;2,1;Q3;0,567;Q2;54.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=3D%20Printing%20and%20Additive%20Manufacturing&btnG=
3D Printing in Medicine;2365-6271;https://threedmedprint.biomedcentral.com/;Ciências da Saúde;Medicina;Ciência da Computação, Engenharia, Medicina;Scopus;-;-;0,502;Q2;33.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=3D%20Printing%20in%20Medicine&btnG=
3L-LANGUAGE LINGUISTICS LITERATURE-THE SOUTHEAST ASIAN JOURNAL OF ENGLISH LANGUAGE STUDIES;0128-5157;http://ejournals.ukm.my/3l;Engenharias;Engenharia Nuclear;Medicina Nuclear e Imagem Médica, Radiologia;Web of Science;2,2;Q2;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=3L-LANGUAGE%20LINGUISTICS%20LITERATURE-THE%20SOUTHEAST%20ASIAN%20JOURNAL%20OF%20ENGLISH%20LANGUAGE%20STUDIES&btnG=
3L: Language, Linguistics, Literature;0128-5157;http://ejournals.ukm.my/3l;Lingüística, Letras e Artes;Artes;Artes e Humanidades, Ciências Sociais;Scopus;-;-;0,401;Q1;23.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=3L%3A%20Language%2C%20Linguistics%2C%20Literature&btnG=
452 F-REVISTA DE TEORIA DE LA LITERATURA Y LITERATURA COMPARADA;2013-3294;http://www.452f.com/index.php;Ciências Exatas e da Terra;Matemática;Matemática;Web of Science;0,3;Q4;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=452%20F-REVISTA%20DE%20TEORIA%20DE%20LA%20LITERATURA%20Y%20LITERATURA%20COMPARADA&btnG=
452ºF;2013-3294;http://www.452f.com/index.php;Lingüística, Letras e Artes;Artes;Artes e Humanidades;Scopus;-;-;0,179;Q1;4.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=452%C2%BAF&btnG=
4OR;1614-2411;https://www.springer.com/journal/10288;Outras / Não Classificado;Geral / Multidisciplinar;Ciência da Computação, Ciências da Decisão, Gestão e Contabilidade, Matemática, Negócios;Scopus;2,6;Q2;0,741;Q1;50.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=4OR&btnG=
4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH;1619-4500;https://www.springer.com/journal/10288;Ciências da Saúde;Medicina;Medicina de Emergência;Web of Science;3,2;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=4OR-A%20QUARTERLY%20JOURNAL%20OF%20OPERATIONS%20RESEARCH&btnG=
?ivá Hudba;0514-7735;;Outras / Não Classificado;Geral / Multidisciplinar;Ciências Sociais;Scopus;-;-;0,101;Q4;1.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=%3Fiv%C3%A1%20Hudba&btnG=
@GRH;2295-9149;https://www.agrh.fr/revue-agrh;Outras / Não Classificado;Geral / Multidisciplinar;Negócios, Gestão e Contabilidade;Scopus;-;-;0,106;Q4;1.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=%40GRH&btnG=
A & A PRACTICE;2575-3126;http://journals.lww.com/aacr/pages/default.aspx;Outras / Não Classificado;Geral / Multidisciplinar;Educação, disciplinas científicas, Ciências e serviços de saúde;Web of Science;-;-;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=A%20%26%20A%20PRACTICE&btnG=
A + U-ARCHITECTURE AND URBANISM;0389-9160;;Ciências da Saúde;Medicina;Pediatria;Web of Science;2,8;Q1;-;-;-;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=A%20%2B%20U-ARCHITECTURE%20AND%20URBANISM&btnG=
A + U-Architecture and Urbanism;0389-9160;;Lingüística, Letras e Artes;Artes;Artes e Humanidades, Ciências Sociais, Engenharia;Scopus;-;-;0,1;Q4;3.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=A%20%2B%20U-Architecture%20and%20Urbanism&btnG=
A Contrario;1660-7880;http://www.cairn.info/revue-a-contrario.htm;Lingüística, Letras e Artes;Artes;Artes e Humanidades, Ciências Sociais;Scopus;-;-;0,102;Q4;8.0;https://scholar.google.com/citations?hl=pt-BR&view_op=search_venues&vq=A%20Contrario&btnG=
